"","ensembl_gene_id","entrezgene_id","mgi_symbol","gene_biotype","chromosome_name","start_position","end_position"
"2780","ENSMUSG00000028128",14066,"F3","protein_coding","3",121517186,121528697
"2781","ENSMUSG00000014873",20931,"Surf2","protein_coding","2",26806379,26810195
"2782","ENSMUSG00000035958",56196,"Tdp2","protein_coding","13",25015662,25026136
"2783","ENSMUSG00000025813",26557,"Homer2","protein_coding","7",81250229,81357275
"2784","ENSMUSG00000059326",12982,"Csf2ra","protein_coding","19",61212395,61216867
"2785","ENSMUSG00000020051",18478,"Pah","protein_coding","10",87357657,87419998
"2786","ENSMUSG00000029735",29807,"Tpk1","protein_coding","6",43321935,43643212
"2787","ENSMUSG00000005625",19185,"Psmd4","protein_coding","3",94940005,94949925
"2788","ENSMUSG00000003200",20405,"Sh3gl1","protein_coding","17",56323750,56343635
"2789","ENSMUSG00000017756",20499,"Slc12a7","protein_coding","13",73881213,73964873
"2790","ENSMUSG00000027460",11602,"Angpt4","protein_coding","2",151753130,151787257
"2791","ENSMUSG00000061356",100503545,"Nuggc","protein_coding","14",65835995,65885980
"2792","ENSMUSG00000020072",67307,"Pbld2","protein_coding","10",62860094,62894592
"2793","ENSMUSG00000034333",223773,"Zbed4","protein_coding","15",88635863,88668719
"2794","ENSMUSG00000022032",71145,"Scara5","protein_coding","14",65903852,66002275
"2795","ENSMUSG00000095993",NA,"Gm21060","protein_coding","19",61285340,61285507
"2796","ENSMUSG00000075127",258919,"Olfr1179","protein_coding","2",88232203,88236797
"2797","ENSMUSG00000024827",104174,"Gldc","protein_coding","19",30075847,30152829
"2798","ENSMUSG00000050600",100043757,"Zfp831","protein_coding","2",174485327,174552625
"2799","ENSMUSG00000022206",18162,"Npr3","protein_coding","15",11839982,11907373
"2800","ENSMUSG00000081836",258920,"Olfr1180","protein_coding","2",88240993,88249495
"2801","ENSMUSG00000047109",56173,"Cldn14","protein_coding","16",93715919,93809696
"2802","ENSMUSG00000072778",232367,"Vmn2r27","protein_coding","6",124166715,124208815
"2803","ENSMUSG00000075125",258060,"Olfr1181","protein_coding","2",88250665,88256515
"2804","ENSMUSG00000027524",13616,"Edn3","protein_coding","2",174602412,174625835
"2805","ENSMUSG00000002835",27221,"Chaf1a","protein_coding","17",56347439,56379289
"2806","ENSMUSG00000000296",21987,"Tpd52l1","protein_coding","10",31208372,31321954
"2807","ENSMUSG00000050685",69339,"Ccdc54","protein_coding","16",50410220,50411517
"2808","ENSMUSG00000033152",319655,"Podxl2","protein_coding","6",88819540,88852026
"2809","ENSMUSG00000040367",242838,"Lrrd1","protein_coding","5",3895173,3916596
"2810","ENSMUSG00000090097",258167,"Olfr1182","protein_coding","2",88273158,88279475
"2811","ENSMUSG00000052749",244183,"Trim30b","protein_coding","7",104004589,104019091
"2812","ENSMUSG00000052749",102640171,"Trim30b","protein_coding","7",104004589,104019091
"2813","ENSMUSG00000062713",20465,"Sim2","protein_coding","16",93885790,93927891
"2814","ENSMUSG00000024863",17195,"Mbl2","protein_coding","19",30210342,30217087
"2815","ENSMUSG00000040429",545725,"Mterf1a","protein_coding","5",3940581,3943933
"2816","ENSMUSG00000019578",66530,"Ubxn6","protein_coding","17",56374045,56382028
"2817","ENSMUSG00000014867",20932,"Surf4","protein_coding","2",26810052,26823940
"2818","ENSMUSG00000022033",52033,"Pbk","protein_coding","14",66043286,66055271
"2819","ENSMUSG00000035845",223774,"Alg12","protein_coding","15",88689447,88703521
"2820","ENSMUSG00000029610",231872,"Aimp2","protein_coding","5",143839522,143846665
"2821","ENSMUSG00000078616",434219,"Trim30c","protein_coding","7",104031272,104050044
"2822","ENSMUSG00000024868",13380,"Dkk1","protein_coding","19",30523263,30527065
"2823","ENSMUSG00000060376",12039,"Bckdha","protein_coding","7",25329371,25358406
"2824","ENSMUSG00000052920",19091,"Prkg1","protein_coding","19",30541889,31742433
"2825","ENSMUSG00000049372",258522,"Olfr1183","protein_coding","2",88285211,88299543
"2826","ENSMUSG00000040820",110948,"Hlcs","protein_coding","16",93929741,94114430
"2827","ENSMUSG00000022034",71988,"Esco2","protein_coding","14",66056487,66071443
"2828","ENSMUSG00000078906",105244402,"Gm14444","protein_coding","2",174852034,174861041
"2829","ENSMUSG00000027459",73847,"Fam110a","protein_coding","2",151811318,151822139
"2830","ENSMUSG00000063760",268291,"Rnf217","protein_coding","10",31369189,31485180
"2831","ENSMUSG00000090751",435975,"Vmn2r63","protein_coding","7",42546135,42583246
"2832","ENSMUSG00000022035",67179,"Ccdc25","protein_coding","14",66074751,66104056
"2833","ENSMUSG00000053536",83410,"Cstf2t","protein_coding","19",31060237,31064469
"2834","ENSMUSG00000037426",277854,"Depdc5","protein_coding","5",33021045,33151580
"2835","ENSMUSG00000051424",258820,"Olfr1184","protein_coding","2",88313942,88319628
"2836","ENSMUSG00000022205",20024,"Sub1","protein_coding","15",11981425,11997069
"2837","ENSMUSG00000052595",69865,"A1cf","protein_coding","19",31846164,31926395
"2838","ENSMUSG00000039419",66797,"Cntnap2","protein_coding","6",45036291,47281147
"2839","ENSMUSG00000057735",NA,"Olfr1185","protein_coding","2",88323664,88332393
"2840","ENSMUSG00000078905",664987,"Gm14393","protein_coding","2",174903342,174909574
"2841","ENSMUSG00000038646",67148,"Ramac","protein_coding","7",81412673,81419239
"2842","ENSMUSG00000027708",114893,"Dcun1d1","protein_coding","3",35946254,35991594
"2843","ENSMUSG00000069670",432450,"Nkain2","protein_coding","10",31565306,32766458
"2844","ENSMUSG00000002833",15193,"Hdgfl2","protein_coding","17",56386634,56407607
"2845","ENSMUSG00000050530",269233,"Fam171a1","protein_coding","2",3115261,3228843
"2846","ENSMUSG00000034463",219151,"Scara3","protein_coding","14",66156843,66191384
"2847","ENSMUSG00000023272",76737,"Creld2","protein_coding","15",88703849,88710886
"2848","ENSMUSG00000037519",233977,"Ppfia1","protein_coding","7",144030495,144107466
"2849","ENSMUSG00000022037",12759,"Clu","protein_coding","14",66205932,66218996
"2850","ENSMUSG00000035828",223775,"Pim3","protein_coding","15",88746389,88749929
"2851","ENSMUSG00000022941",170765,"Ripply3","protein_coding","16",94129279,94137794
"2852","ENSMUSG00000020053",16000,"Igf1","protein_coding","10",87694127,87772904
"2853","ENSMUSG00000006711",210108,"D130043K22Rik","protein_coding","13",25029118,25085253
"2854","ENSMUSG00000022940",56176,"Pigp","protein_coding","16",94159622,94172701
"2855","ENSMUSG00000032330",12866,"Cox7a2","protein_coding","9",79662643,79667160
"2856","ENSMUSG00000023192",108068,"Grm2","protein_coding","9",106520294,106533281
"2857","ENSMUSG00000038195",280408,"Rilp","protein_coding","11",75400920,75403994
"2858","ENSMUSG00000072501",239510,"Phf20l1","protein_coding","15",66449409,66519825
"2859","ENSMUSG00000082882",258523,"Olfr1186","protein_coding","2",88348895,88357134
"2860","ENSMUSG00000032328",69981,"Tmem30a","protein_coding","9",79676225,79700789
"2861","ENSMUSG00000090093",100043761,"Gm14399","protein_coding","2",174971286,174983805
"2862","ENSMUSG00000049897",279029,"Stkld1","protein_coding","2",26824059,26843508
"2863","ENSMUSG00000034471",140721,"Caskin2","protein_coding","11",115690009,115704465
"2864","ENSMUSG00000030249",20928,"Abcc9","protein_coding","6",142533588,142648041
"2865","ENSMUSG00000024887",54447,"Asah2","protein_coding","19",31959997,32085611
"2866","ENSMUSG00000040813",21767,"Tex264","protein_coding","9",106535945,106563126
"2867","ENSMUSG00000034450",268756,"Gulo","protein_coding","14",66224235,66246656
"2868","ENSMUSG00000041417",18708,"Pik3r1","protein_coding","13",101817071,101904725
"2869","ENSMUSG00000028127",19299,"Abcd3","protein_coding","3",121552423,121608951
"2870","ENSMUSG00000078902",NA,"Gm14443","protein_coding","2",175008048,175017664
"2871","ENSMUSG00000027463",69698,"Slc52a3","protein_coding","2",151838431,151851178
"2872","ENSMUSG00000022039",11495,"Adam2","protein_coding","14",66264778,66315182
"2873","ENSMUSG00000022637",208650,"Cblb","protein_coding","16",51851588,52028411
"2874","ENSMUSG00000030921",20128,"Trim30a","protein_coding","7",104058232,104114400
"2875","ENSMUSG00000031389",171207,"Arhgap4","protein_coding","X",72935048,72965476
"2876","ENSMUSG00000037649",14998,"H2-DMa","protein_coding","17",34338515,34358075
"2877","ENSMUSG00000034898",70598,"Filip1","protein_coding","9",79712376,79920133
"2878","ENSMUSG00000091528",NA,"Vmn2r-ps158","protein_coding","7",42668189,42697530
"2879","ENSMUSG00000038188",380713,"Scarf1","protein_coding","11",75404366,75417408
"2880","ENSMUSG00000035383",110312,"Pmch","protein_coding","10",87926934,87928237
"2881","ENSMUSG00000060257",545474,"Scrt2","protein_coding","2",151923449,151937722
"2882","ENSMUSG00000078903",665001,"Gm14391","protein_coding","2",175032858,175048710
"2883","ENSMUSG00000022040",13850,"Ephx2","protein_coding","14",66321823,66361949
"2884","ENSMUSG00000112129",68371,"Pbld1","protein_coding","10",62895941,62913741
"2885","ENSMUSG00000035936",214579,"Aldh5a1","protein_coding","13",25091562,25121644
"2886","ENSMUSG00000030741",73658,"Spns1","protein_coding","7",125969232,125976622
"2887","ENSMUSG00000024130",27410,"Abca3","protein_coding","17",24570924,24629175
"2888","ENSMUSG00000032802",76650,"Srxn1","protein_coding","2",151947436,151953296
"2889","ENSMUSG00000040661",81000,"Rad54l2","protein_coding","9",106565281,106666393
"2890","ENSMUSG00000068079",21407,"Tcf15","protein_coding","2",151985481,151991017
"2891","ENSMUSG00000020882",12295,"Cacnb1","protein_coding","11",97892334,97913860
"2892","ENSMUSG00000078901",100503353,"Gm14440","protein_coding","2",175116918,175128598
"2893","ENSMUSG00000075119",433449,"Olfr1197","protein_coding","2",88557247,88562710
"2894","ENSMUSG00000021624",17079,"Cd180","protein_coding","13",102830066,102876137
"2895","ENSMUSG00000052406",227656,"Rexo4","protein_coding","2",26843575,26854398
"2896","ENSMUSG00000035365",75317,"Parpbp","protein_coding","10",87927294,87982803
"2897","ENSMUSG00000022388",239591,"Ttll8","protein_coding","15",88774836,88838621
"2898","ENSMUSG00000021567",72293,"Nkd2","protein_coding","13",73966653,73995750
"2899","ENSMUSG00000032038",20443,"St3gal4","protein_coding","9",34957872,35030564
"2900","ENSMUSG00000079470",195434,"Utp14b","protein_coding","1",78635755,78649229
"2901","ENSMUSG00000078899",627914,"Gm4631","protein_coding","2",175163748,175179990
"2902","ENSMUSG00000078899",102633156,"Gm4631","protein_coding","2",175163748,175179990
"2903","ENSMUSG00000040451",208449,"Sgms1","protein_coding","19",32100127,32367114
"2904","ENSMUSG00000096576",193322,"Oog1","protein_coding","12",87649458,87655620
"2905","ENSMUSG00000026643",18108,"Nmt2","protein_coding","2",3285249,3329914
"2906","ENSMUSG00000047330",57814,"Kcne4","protein_coding","1",78794475,78797745
"2907","ENSMUSG00000022201",22763,"Zfr","protein_coding","15",12117917,12185769
"2908","ENSMUSG00000092019",100042776,"Eif1ad6","protein_coding","12",87665639,87669725
"2909","ENSMUSG00000033981",14800,"Gria2","protein_coding","3",80588757,80710142
"2910","ENSMUSG00000025102",67290,"3110040N11Rik","protein_coding","7",81431930,81439226
"2911","ENSMUSG00000113489",100042786,"Ubl5b","protein_coding","12",87690888,87691390
"2912","ENSMUSG00000050711",20254,"Scg2","protein_coding","1",79412386,79417837
"2913","ENSMUSG00000035329",70611,"Fbxo33","protein_coding","12",59247441,59266511
"2914","ENSMUSG00000055067",69726,"Smyd3","protein_coding","1",178779525,179345606
"2915","ENSMUSG00000036816",53404,"Atoh7","protein_coding","10",62935430,62937058
"2916","ENSMUSG00000021569",69716,"Trip13","protein_coding","13",74059466,74085903
"2917","ENSMUSG00000019787",76757,"Trdn","protein_coding","10",32956550,33352705
"2918","ENSMUSG00000061286",27998,"Exosc5","protein_coding","7",25358589,25370793
"2919","ENSMUSG00000095724",100861908,"Eif1ad19","protein_coding","12",87739195,87742525
"2920","ENSMUSG00000113201",NA,"Eif1ad13","protein_coding","12",87762282,87762716
"2921","ENSMUSG00000022041",110902,"Chrna2","protein_coding","14",66372488,66390397
"2922","ENSMUSG00000079031",544881,"Eif1ad2","protein_coding","12",87783347,87787446
"2923","ENSMUSG00000075117",404330,"Olfr1198","protein_coding","2",88574314,88581714
"2924","ENSMUSG00000054702",252903,"Ap1s3","protein_coding","1",79584593,79649689
"2925","ENSMUSG00000032040",69305,"Dcps","protein_coding","9",35035704,35087357
"2926","ENSMUSG00000078898",100043914,"Zfp968","protein_coding","2",175214229,175225994
"2927","ENSMUSG00000078898",102639505,"Zfp968","protein_coding","2",175214229,175225994
"2928","ENSMUSG00000113951",100038992,"Ubl5c","protein_coding","12",87808607,87809109
"2929","ENSMUSG00000049950",227522,"Rpp38","protein_coding","2",3329986,3333680
"2930","ENSMUSG00000072905",100039042,"Eif1ad3","protein_coding","12",87840842,87844629
"2931","ENSMUSG00000026492",15278,"Tfb2m","protein_coding","1",179355620,179373832
"2932","ENSMUSG00000033585",17984,"Ndn","protein_coding","7",61996317,62000010
"2933","ENSMUSG00000089892",258450,"Olfr1199","protein_coding","2",88584539,88590813
"2934","ENSMUSG00000113971",100039052,"Eif1ad4","protein_coding","12",87862140,87862574
"2935","ENSMUSG00000056972",27385,"Magel2","protein_coding","7",62026758,62031388
"2936","ENSMUSG00000059456",19229,"Ptk2b","protein_coding","14",66390706,66518501
"2937","ENSMUSG00000021340",14756,"Gpld1","protein_coding","13",25127135,25176484
"2938","ENSMUSG00000073830",100039116,"Mup14","protein_coding","4",61256022,61259999
"2939","ENSMUSG00000032041",117149,"Tirap","protein_coding","9",35095847,35111587
"2940","ENSMUSG00000064194",668620,"Zfp936","protein_coding","7",42763653,42841533
"2941","ENSMUSG00000096619",NA,"Eif1ad14","protein_coding","12",87886193,87886627
"2942","ENSMUSG00000075115",257887,"Olfr1200","protein_coding","2",88593855,88600832
"2943","ENSMUSG00000026644",78245,"Acbd7","protein_coding","2",3337205,3342030
"2944","ENSMUSG00000035653",238205,"Lrfn5","protein_coding","12",61569936,61905128
"2945","ENSMUSG00000030722",18020,"Nfatc2ip","protein_coding","7",125982026,125995909
"2946","ENSMUSG00000059023",258897,"Olfr1201","protein_coding","2",88623380,88627171
"2947","ENSMUSG00000038949",226744,"Cnst","protein_coding","1",179373935,179455043
"2948","ENSMUSG00000078897",100043915,"Gm4724","protein_coding","2",175264093,175277600
"2949","ENSMUSG00000057596",209387,"Trim30d","protein_coding","7",104119221,104157056
"2950","ENSMUSG00000096674",100039150,"Mup15","protein_coding","4",61354027,61357980
"2951","ENSMUSG00000062456",NA,"Rpl9-ps6","protein_coding","19",32443265,32443978
"2952","ENSMUSG00000024896",17330,"Minpp1","protein_coding","19",32463169,32492764
"2953","ENSMUSG00000064084",258454,"Olfr1202","protein_coding","2",88644840,88651055
"2954","ENSMUSG00000057447",258898,"Olfr1205","protein_coding","2",88660081,88667448
"2955","ENSMUSG00000078675",100039177,"Mup16","protein_coding","4",61433829,61437768
"2956","ENSMUSG00000024899",23972,"Papss2","protein_coding","19",32573190,32644587
"2957","ENSMUSG00000022636",11658,"Alcam","protein_coding","16",52069359,52274437
"2958","ENSMUSG00000078896",100503949,"Zfp965","protein_coding","2",175311778,175323964
"2959","ENSMUSG00000036333",77480,"Kidins220","protein_coding","12",25024924,25113151
"2960","ENSMUSG00000061798",258455,"Olfr1204","protein_coding","2",88679636,88688264
"2961","ENSMUSG00000062757",258896,"Olfr1206","protein_coding","2",88693575,88698097
"2962","ENSMUSG00000070527",22652,"Mkrn3","protein_coding","7",62067341,62069887
"2963","ENSMUSG00000035805",170790,"Mlc1","protein_coding","15",88840087,88863210
"2964","ENSMUSG00000094475",100503949,"Gm11007","protein_coding","2",175435771,175445653
"2965","ENSMUSG00000070526",27412,"Peg12","protein_coding","7",62111619,62114258
"2966","ENSMUSG00000026043",12825,"Col3a1","protein_coding","1",45350698,45388866
"2967","ENSMUSG00000061702",320208,"Tmem91","protein_coding","7",25368564,25374591
"2968","ENSMUSG00000096688",100039206,"Mup17","protein_coding","4",61510166,61514108
"2969","ENSMUSG00000026645",99035,"Olah","protein_coding","2",3343019,3398247
"2970","ENSMUSG00000035351",69736,"Nup37","protein_coding","10",87982854,88014252
"2971","ENSMUSG00000078674",100048884,"Mup18","protein_coding","4",61588414,61592373
"2972","ENSMUSG00000025103",83962,"Btbd1","protein_coding","7",81441822,81479179
"2973","ENSMUSG00000013662",67979,"Atad1","protein_coding","19",32649038,32717186
"2974","ENSMUSG00000040325",321006,"Dcaf1","protein_coding","9",106699073,106758191
"2975","ENSMUSG00000032845",225638,"Alpk2","protein_coding","18",65398600,65527137
"2976","ENSMUSG00000078673",100189605,"Mup19","protein_coding","4",61696561,61700506
"2977","ENSMUSG00000014852",279028,"Adamts13","protein_coding","2",26863428,26899640
"2978","ENSMUSG00000021339",380836,"Mrs2","protein_coding","13",25171466,25204362
"2979","ENSMUSG00000109344",622251,"Potefam2","protein_coding","7",62428171,62473421
"2980","ENSMUSG00000020067",68802,"Mypn","protein_coding","10",62951574,63039731
"2981","ENSMUSG00000073928",258809,"Olfr651","protein_coding","7",104199340,104203629
"2982","ENSMUSG00000039458",268783,"Mtmr12","protein_coding","15",12205114,12274582
"2983","ENSMUSG00000002831",57435,"Plin4","protein_coding","17",56407591,56416803
"2984","ENSMUSG00000066378",NA,"Gm10160","protein_coding","7",81505281,81505542
"2985","ENSMUSG00000063439",232987,"B9d2","protein_coding","7",25380205,25385983
"2986","ENSMUSG00000035910",195208,"Dcdc2a","protein_coding","13",25239987,25394689
"2987","ENSMUSG00000058523",17844,"Mup5","protein_coding","4",61749556,61753470
"2988","ENSMUSG00000020781",76265,"Tsen54","protein_coding","11",115705550,115713920
"2989","ENSMUSG00000073927",259050,"Olfr652","protein_coding","7",104210108,104217841
"2990","ENSMUSG00000024474",24010,"Ik","protein_coding","18",36877709,36890692
"2991","ENSMUSG00000073926",57250,"Olfr653","protein_coding","7",104226521,104233324
"2992","ENSMUSG00000078672",381530,"Mup20","protein_coding","4",61968471,61972395
"2993","ENSMUSG00000012640",69930,"Zfp715","protein_coding","7",42945621,42962718
"2994","ENSMUSG00000037548",15000,"H2-DMb2","protein_coding","17",34362281,34370529
"2995","ENSMUSG00000075114",258774,"Olfr1208","protein_coding","2",88725919,88732655
"2996","ENSMUSG00000066154",17842,"Mup3","protein_coding","4",62001713,62005579
"2997","ENSMUSG00000075113",258453,"Olfr1209","protein_coding","2",88735286,88745501
"2998","ENSMUSG00000095545",100043915,"Zfp969","protein_coding","2",175484016,175495439
"2999","ENSMUSG00000095545",102639505,"Zfp969","protein_coding","2",175484016,175495439
"3000","ENSMUSG00000019785",215890,"Clvs2","protein_coding","10",33388282,33500765
"3001","ENSMUSG00000073925",258377,"Olfr654","protein_coding","7",104236232,104239925
"3002","ENSMUSG00000048978",22360,"Nrsn1","protein_coding","13",25436023,25454485
"3003","ENSMUSG00000030525",11441,"Chrna7","protein_coding","7",62748440,62862317
"3004","ENSMUSG00000064310",239852,"Zpld1","protein_coding","16",55045538,55118349
"3005","ENSMUSG00000074698",12995,"Csnk2a1","protein_coding","2",152068759,152123772
"3006","ENSMUSG00000002603",21803,"Tgfb1","protein_coding","7",25386427,25404502
"3007","ENSMUSG00000041459",230908,"Tardbp","protein_coding","4",148696839,148711476
"3008","ENSMUSG00000027709",72039,"Mccc1","protein_coding","3",36013461,36054827
"3009","ENSMUSG00000096276",100039087,"Gm2042","protein_coding","12",87920850,87927453
"3010","ENSMUSG00000045835",15192,"Hdgfl1","protein_coding","13",26952156,26954148
"3011","ENSMUSG00000090298",215895,"Sult3a2","protein_coding","10",33642420,33662700
"3012","ENSMUSG00000057649",105246,"Brd9","protein_coding","13",74085930,74109014
"3013","ENSMUSG00000011305",66968,"Plin5","protein_coding","17",56418601,56424596
"3014","ENSMUSG00000042660",67936,"Wdr55","protein_coding","18",36893273,36896863
"3015","ENSMUSG00000069668",57430,"Sult3a1","protein_coding","10",33733717,33755528
"3016","ENSMUSG00000051182",258817,"Olfr655","protein_coding","7",104244508,104250986
"3017","ENSMUSG00000044595",213236,"Dnd1","protein_coding","18",36896724,36899267
"3018","ENSMUSG00000005899",77626,"Smpd4","protein_coding","16",17437218,17462692
"3019","ENSMUSG00000097221",NA,"1810049J17Rik","protein_coding","15",12321524,12321985
"3020","ENSMUSG00000038178",215113,"Slc43a2","protein_coding","11",75422520,75468401
"3021","ENSMUSG00000030724",12478,"Cd19","protein_coding","7",126007622,126014061
"3022","ENSMUSG00000032042",67398,"Srpr","protein_coding","9",35111471,35159269
"3023","ENSMUSG00000053469",21819,"Tg","protein_coding","15",66542602,66722570
"3024","ENSMUSG00000020056",67282,"Washc3","protein_coding","10",88036955,88082020
"3025","ENSMUSG00000001380",15115,"Hars","protein_coding","18",36899581,36916258
"3026","ENSMUSG00000037095",76905,"Lrg1","protein_coding","17",56426678,56429001
"3027","ENSMUSG00000013663",19211,"Pten","protein_coding","19",32734897,32803560
"3028","ENSMUSG00000029209",67980,"Gnpda2","protein_coding","5",69730451,69749683
"3029","ENSMUSG00000032575",74840,"Manf","protein_coding","9",106715511,106769178
"3030","ENSMUSG00000079547",14999,"H2-DMb1","protein_coding","17",34372046,34379204
"3031","ENSMUSG00000020644",15902,"Id2","protein_coding","12",25143798,25147139
"3032","ENSMUSG00000075112",258025,"Olfr1211","protein_coding","2",88757220,88768455
"3033","ENSMUSG00000028020",14658,"Glrb","protein_coding","3",80750906,80820967
"3034","ENSMUSG00000094932",102639653,"Gm2007","protein_coding","2",175533330,175543212
"3035","ENSMUSG00000043060",623046,"Fscb","protein_coding","12",64518104,64521464
"3036","ENSMUSG00000079344",628236,"Lipo4","protein_coding","19",33475437,33495180
"3037","ENSMUSG00000096049",NA,"Eif1ad17","protein_coding","12",87978618,87979052
"3038","ENSMUSG00000048226",258241,"Olfr1212","protein_coding","2",88784313,88791657
"3039","ENSMUSG00000096803",627873,"Eif1ad16","protein_coding","12",87985107,87985541
"3040","ENSMUSG00000024766",381236,"Lipo3","protein_coding","19",33532560,33739351
"3041","ENSMUSG00000078889",13999,"Gm14288","protein_coding","2",175581150,175592886
"3042","ENSMUSG00000073924",259078,"Olfr656","protein_coding","7",104263162,104270810
"3043","ENSMUSG00000095717",NA,"Eif1ad11","protein_coding","12",87993774,87994208
"3044","ENSMUSG00000073923",258309,"Olfr657","protein_coding","7",104274001,104286688
"3045","ENSMUSG00000075111",258900,"Olfr1213","protein_coding","2",88802399,88810625
"3046","ENSMUSG00000032058",73699,"Ppp2r1b","protein_coding","9",50756601,50805529
"3047","ENSMUSG00000070421",259051,"Olfr658","protein_coding","7",104292084,104296512
"3048","ENSMUSG00000034681",19826,"Rnps1","protein_coding","17",24633539,24644875
"3049","ENSMUSG00000046101",240697,"Mcmdc2","protein_coding","1",9978863,10012310
"3050","ENSMUSG00000047227",217648,"Gm527","protein_coding","12",64964680,64971366
"3051","ENSMUSG00000026650",104362,"Meig1","protein_coding","2",3410080,3423685
"3052","ENSMUSG00000038623",107769,"Tm6sf1","protein_coding","7",81508749,81534182
"3053","ENSMUSG00000031443",14068,"F7","protein_coding","8",13076034,13085809
"3054","ENSMUSG00000039552",212892,"Rsph4a","protein_coding","10",33781107,33792017
"3055","ENSMUSG00000025437",170822,"Usp33","protein_coding","3",152052115,152099254
"3056","ENSMUSG00000114075",NA,"Eif1ad18","protein_coding","12",88050467,88050901
"3057","ENSMUSG00000069189",71164,"Zdhhc11","protein_coding","13",74111970,74141109
"3058","ENSMUSG00000086812",668106,"Gm8978","protein_coding","19",33590107,33602652
"3059","ENSMUSG00000019143",70791,"Hars2","protein_coding","18",36916061,36925615
"3060","ENSMUSG00000017404",19921,"Rpl19","protein_coding","11",97917536,97921318
"3061","ENSMUSG00000078887",626832,"Gm6710","protein_coding","2",175661012,175673041
"3062","ENSMUSG00000020057",71712,"Dram1","protein_coding","10",88158666,88214942
"3063","ENSMUSG00000087303",101055671,"Lipo2","protein_coding","19",33697070,33728759
"3064","ENSMUSG00000089756",667962,"Zfp966","protein_coding","2",175710674,175722893
"3065","ENSMUSG00000089756",102639505,"Zfp966","protein_coding","2",175710674,175722893
"3066","ENSMUSG00000003847",54446,"Nfat5","protein_coding","8",108020102,108106149
"3067","ENSMUSG00000066027",100039315,"Pramel51","protein_coding","12",88142359,88148878
"3068","ENSMUSG00000075110",258899,"Olfr1214","protein_coding","2",88816823,88822997
"3069","ENSMUSG00000027465",67231,"Tbc1d20","protein_coding","2",152135748,152155916
"3070","ENSMUSG00000002608",52132,"Ccdc97","protein_coding","7",25410531,25418513
"3071","ENSMUSG00000020064",67345,"Herc4","protein_coding","10",63079589,63153657
"3072","ENSMUSG00000079342",329055,"Lipo1","protein_coding","19",33752898,33764859
"3073","ENSMUSG00000021342",19109,"Prl","protein_coding","13",27241553,27249188
"3074","ENSMUSG00000095799",NA,"Eif1ad10","protein_coding","12",88216436,88216870
"3075","ENSMUSG00000079029",435337,"Eif1ad7","protein_coding","12",88237410,88241270
"3076","ENSMUSG00000001227",20359,"Sema6b","protein_coding","17",56430085,56447343
"3077","ENSMUSG00000017400",217154,"Stac2","protein_coding","11",97927449,97944288
"3078","ENSMUSG00000093847",NA,"Eif1ad15","protein_coding","12",88286892,88290796
"3079","ENSMUSG00000099032",100039596,"Tcf24","protein_coding","1",10030388,10038157
"3080","ENSMUSG00000073922",259052,"Olfr659","protein_coding","7",104315960,104324155
"3081","ENSMUSG00000040407",100986,"Akap9","protein_coding","5",3978054,4131310
"3082","ENSMUSG00000038936",109232,"Sccpdh","protein_coding","1",179495775,179514754
"3083","ENSMUSG00000033510",170711,"Otud7a","protein_coding","7",63094499,63408776
"3084","ENSMUSG00000035614",328108,"Togaram1","protein_coding","12",65012578,65069347
"3085","ENSMUSG00000024768",67717,"Lipf","protein_coding","19",33938587,33954210
"3086","ENSMUSG00000078886",100039060,"Gm2026","protein_coding","2",175757124,175772096
"3087","ENSMUSG00000021573",72948,"Tppp","protein_coding","13",74157526,74183872
"3088","ENSMUSG00000017781",18738,"Pitpna","protein_coding","11",75478923,75519630
"3089","ENSMUSG00000044469",66443,"Tnfaip8l1","protein_coding","17",56469477,56480955
"3090","ENSMUSG00000001383",66492,"Zmat2","protein_coding","18",36926929,36932719
"3091","ENSMUSG00000100016",258451,"Olfr1215","protein_coding","2",88830365,88837317
"3092","ENSMUSG00000095648",628147,"Gm2004","protein_coding","2",175883384,175891618
"3093","ENSMUSG00000019579",28106,"Mydgf","protein_coding","17",56482744,56490920
"3094","ENSMUSG00000057170",18775,"Prl3d1","protein_coding","13",27278173,27284241
"3095","ENSMUSG00000073920",258743,"Olfr661","protein_coding","7",104335708,104340561
"3096","ENSMUSG00000075107",258895,"Olfr1216","protein_coding","2",88837907,88848684
"3097","ENSMUSG00000032688",240354,"Malt1","protein_coding","18",65564009,65612138
"3098","ENSMUSG00000024771",240633,"Lipk","protein_coding","19",33985690,34025235
"3099","ENSMUSG00000109806",257914,"Olfr663","protein_coding","7",104352776,104353734
"3100","ENSMUSG00000078894",100504263,"2210418O10Rik","protein_coding","2",175968362,175982121
"3101","ENSMUSG00000008845",93671,"Cd163","protein_coding","6",124281615,124307486
"3102","ENSMUSG00000043073",625530,"Usp17le","protein_coding","7",104417256,104426677
"3103","ENSMUSG00000096727",16912,"Psmb9","protein_coding","17",34400961,34406738
"3104","ENSMUSG00000078895",NA,"Gm11009","protein_coding","2",176059431,176061287
"3105","ENSMUSG00000101391",258903,"Olfr1217","protein_coding","2",88851680,88862409
"3106","ENSMUSG00000052040",50794,"Klf13","protein_coding","7",63536099,63588663
"3107","ENSMUSG00000062737",215028,"Prl3d2","protein_coding","13",27305681,27311538
"3108","ENSMUSG00000089951",NA,"Zfp968-ps","protein_coding","2",176115387,176127554
